SNR,PSNR,LPIPS
0,11.662710189819336,0.6289111971855164
5,14.966233253479004,0.5384207963943481
10,18.849205017089844,0.39134806394577026
20,23.696678161621094,0.17798401415348053
25,24.4564266204834,0.15381315350532532
30,24.541748046875,0.14287301898002625
