SNR,PSNR,LPIPS
0.0,9.9415922164917,0.5859534740447998
0.1,10.0900239944458,0.590704083442688
0.2,9.946696281433105,0.5881633162498474
0.3,10.064552307128906,0.5886872410774231
0.4,10.151843070983887,0.5828679800033569
0.5,10.226691246032715,0.5694262385368347
0.6,10.467292785644531,0.5688431262969971
0.7,10.263761520385742,0.5801067352294922
0.8,10.249358177185059,0.5801146030426025
0.9,10.351641654968262,0.5764319896697998
1.0,10.431452751159668,0.5683231353759766
1.1,10.519752502441406,0.5702475309371948
1.2,10.631050109863281,0.5711652040481567
1.3,10.536260604858398,0.5706955194473267
1.4,10.675153732299805,0.5642642974853516
1.5,10.858521461486816,0.5618966817855835
1.6,11.065279960632324,0.5564264059066772
1.7,11.037993431091309,0.5614445805549622
1.8,11.117755889892578,0.5549397468566895
1.9,11.193145751953125,0.5458379983901978
2.0,11.2495756149292,0.5523785948753357
2.1,11.3952054977417,0.5509985685348511
2.2,11.551559448242188,0.5436295866966248
2.3,11.311165809631348,0.5462033152580261
2.4,11.735003471374512,0.5347393751144409
2.5,11.60230541229248,0.5377272367477417
2.6,11.647356033325195,0.5399234890937805
2.7,11.690790176391602,0.5416512489318848
2.8,11.955021858215332,0.531761109828949
2.9,11.87965202331543,0.5190814137458801
3.0,12.031791687011719,0.5233301520347595
3.1,12.045816421508789,0.5246087312698364
3.2,12.271791458129883,0.5222306251525879
3.3,12.159521102905273,0.5239390134811401
3.4,12.568465232849121,0.5168136358261108
3.5,12.335447311401367,0.5170894861221313
3.6,12.484928131103516,0.5092645287513733
3.7,12.749368667602539,0.5109316110610962
3.8,12.72614574432373,0.4961797893047333
3.9,12.720733642578125,0.5046872496604919
4.0,12.806994438171387,0.4953419864177704
4.1,12.83919620513916,0.4953143000602722
4.2,13.24163818359375,0.5036664009094238
4.3,13.106889724731445,0.4832649827003479
4.4,13.067947387695312,0.4955747723579407
4.5,13.325349807739258,0.4775615930557251
4.6,13.436488151550293,0.4859304428100586
4.7,13.648466110229492,0.468182235956192
4.8,13.793813705444336,0.4851449429988861
4.9,13.65687084197998,0.479266494512558
5.0,13.860687255859375,0.4668284058570862
5.1,13.869400978088379,0.458731472492218
5.2,13.758427619934082,0.4598137140274048
5.3,14.214776039123535,0.4681364893913269
5.4,14.193607330322266,0.451163649559021
5.5,14.222763061523438,0.4629472494125366
5.6,14.394932746887207,0.44549569487571716
5.7,14.373791694641113,0.44639167189598083
5.8,14.71721363067627,0.43430647253990173
5.9,14.817718505859375,0.43377354741096497
6.0,14.670966148376465,0.4394627809524536
6.1,14.738492012023926,0.42481422424316406
6.2,15.112061500549316,0.42478013038635254
6.3,14.863829612731934,0.4260161519050598
6.4,15.103496551513672,0.4341588020324707
6.5,15.10964298248291,0.4243457019329071
6.6,15.05810832977295,0.4221367835998535
6.7,15.761120796203613,0.4111698567867279
6.8,15.482638359069824,0.40618738532066345
6.9,15.398098945617676,0.40221595764160156
7.0,15.524542808532715,0.40003859996795654
7.1,15.738632202148438,0.39376890659332275
7.2,15.865023612976074,0.39326319098472595
7.3,16.189176559448242,0.3818169832229614
7.4,16.169078826904297,0.3833102881908417
7.5,16.17328453063965,0.38993409276008606
7.6,16.24095344543457,0.3864035904407501
7.7,16.113117218017578,0.3694169521331787
7.8,16.335371017456055,0.36769241094589233
7.9,16.747303009033203,0.36897507309913635
8.0,16.69208526611328,0.3519974648952484
8.1,16.597412109375,0.36019429564476013
8.2,17.15664291381836,0.3517898917198181
8.3,16.662782669067383,0.3497263193130493
8.4,16.970340728759766,0.3471181392669678
8.5,17.268911361694336,0.3523746430873871
8.6,17.199026107788086,0.328326940536499
8.7,17.02465057373047,0.3413184881210327
8.8,17.503925323486328,0.33001285791397095
8.9,17.6102352142334,0.3262042701244354
9.0,17.65867805480957,0.33207112550735474
9.1,17.695560455322266,0.32707658410072327
9.2,17.990192413330078,0.3105890452861786
9.3,17.959964752197266,0.31813234090805054
9.4,17.88144302368164,0.31794482469558716
9.5,17.93619155883789,0.3089808225631714
9.6,18.212095260620117,0.31423741579055786
9.7,18.22688102722168,0.3018288314342499
9.8,18.399484634399414,0.3028571605682373
9.9,18.354127883911133,0.2984442710876465
10.0,18.637344360351562,0.3000628352165222
10.1,18.61947250366211,0.2855066657066345
10.2,18.87135887145996,0.2876579463481903
10.3,18.561357498168945,0.29046815633773804
10.4,18.83802032470703,0.28397414088249207
10.5,18.807497024536133,0.28270620107650757
10.6,19.118894577026367,0.2710357904434204
10.7,19.311092376708984,0.28476372361183167
10.8,19.248058319091797,0.26252835988998413
10.9,19.394363403320312,0.26535284519195557
11.0,19.715240478515625,0.25700414180755615
11.1,19.46955680847168,0.25533008575439453
11.2,19.669511795043945,0.2542385458946228
11.3,19.49603843688965,0.26459044218063354
11.4,19.802122116088867,0.2581624388694763
11.5,19.745803833007812,0.2575536072254181
11.6,19.86349868774414,0.24911469221115112
11.7,20.049528121948242,0.2435493767261505
11.8,20.148908615112305,0.24423103034496307
11.9,20.18791961669922,0.23051169514656067
12.0,20.16227912902832,0.22985374927520752
12.1,20.375009536743164,0.23323078453540802
12.2,20.34510612487793,0.23126664757728577
12.3,20.58490562438965,0.2295587956905365
12.4,20.81964874267578,0.22529661655426025
12.5,20.590106964111328,0.2217889428138733
12.6,20.674602508544922,0.2185709923505783
12.7,20.61213493347168,0.21595355868339539
12.8,20.976200103759766,0.21425040066242218
12.9,20.926137924194336,0.2061024308204651
13.0,21.217010498046875,0.20241878926753998
13.1,21.2929744720459,0.204837828874588
13.2,21.38479995727539,0.2125987410545349
13.3,21.358875274658203,0.20812436938285828
13.4,21.439083099365234,0.19634084403514862
13.5,21.638032913208008,0.18983782827854156
13.6,21.68531036376953,0.19130784273147583
13.7,21.609325408935547,0.1915367692708969
13.8,21.63916015625,0.18818269670009613
13.9,21.942092895507812,0.1803160160779953
14.0,21.76845359802246,0.18485917150974274
14.1,21.995433807373047,0.17756786942481995
14.2,21.917640686035156,0.1790420413017273
14.3,22.038198471069336,0.17637409269809723
14.4,22.036096572875977,0.17650222778320312
14.5,22.372257232666016,0.17086094617843628
14.6,22.154050827026367,0.18583664298057556
14.7,22.35868263244629,0.1731182187795639
