SNR,PSNR,LPIPS
0.0,12.879802703857422,0.48234909772872925
0.1,13.264904975891113,0.4734862446784973
0.2,12.983338356018066,0.48293590545654297
0.3,12.950433731079102,0.4679105281829834
0.4,13.198970794677734,0.47906431555747986
0.5,13.298542022705078,0.45763805508613586
0.6,13.83453369140625,0.46503594517707825
0.7,13.241963386535645,0.47298818826675415
0.8,13.211441993713379,0.4730628430843353
0.9,13.169371604919434,0.47465041279792786
1.0,13.393051147460938,0.474080353975296
1.1,13.536306381225586,0.46394777297973633
1.2,13.524694442749023,0.4755003750324249
1.3,13.38422966003418,0.47988295555114746
1.4,13.518864631652832,0.4667005240917206
1.5,13.860384941101074,0.47060108184814453
1.6,14.014337539672852,0.4557003676891327
1.7,13.8124361038208,0.457641065120697
1.8,13.837767601013184,0.45622318983078003
1.9,14.200902938842773,0.44392743706703186
2.0,13.834630012512207,0.45388686656951904
2.1,14.157317161560059,0.44810187816619873
2.2,14.23729419708252,0.45874857902526855
2.3,13.858646392822266,0.4545465409755707
2.4,14.432619094848633,0.4334626793861389
2.5,14.038252830505371,0.4438208341598511
2.6,14.29619312286377,0.44208282232284546
2.7,14.15030288696289,0.45151156187057495
2.8,14.43177318572998,0.44547855854034424
2.9,14.21653938293457,0.42504507303237915
3.0,14.274392127990723,0.4344264566898346
3.1,14.374092102050781,0.43467360734939575
3.2,14.672713279724121,0.4341357946395874
3.3,14.417552947998047,0.4463381767272949
3.4,14.836719512939453,0.43560507893562317
3.5,14.597700119018555,0.4321313798427582
3.6,14.651896476745605,0.4293234944343567
3.7,14.89966106414795,0.43110477924346924
3.8,14.795248031616211,0.4227325916290283
3.9,14.781699180603027,0.43523794412612915
4.0,14.706828117370605,0.42078644037246704
4.1,14.886709213256836,0.4232870638370514
4.2,15.224193572998047,0.43023625016212463
4.3,15.106658935546875,0.41529524326324463
4.4,14.82763671875,0.42568570375442505
4.5,15.218621253967285,0.4016434848308563
4.6,15.168211936950684,0.420127272605896
4.7,15.530055046081543,0.4067131280899048
4.8,15.576934814453125,0.41041627526283264
4.9,15.320417404174805,0.41544079780578613
5.0,15.462761878967285,0.4071625769138336
5.1,15.508038520812988,0.39960938692092896
5.2,15.31518840789795,0.39885571599006653
5.3,15.836323738098145,0.4082944989204407
5.4,15.745855331420898,0.38913339376449585
5.5,15.68224048614502,0.4077664911746979
5.6,15.856290817260742,0.39338600635528564
5.7,15.864649772644043,0.38636863231658936
5.8,16.173906326293945,0.37874841690063477
5.9,16.203388214111328,0.37893158197402954
6.0,16.049829483032227,0.38370853662490845
6.1,15.993463516235352,0.3712575435638428
6.2,16.46609878540039,0.3638054132461548
6.3,16.0794734954834,0.37682297825813293
6.4,16.406679153442383,0.3822222054004669
6.5,16.248180389404297,0.3772175908088684
6.6,16.208702087402344,0.3758898973464966
6.7,16.922908782958984,0.3635751008987427
6.8,16.618812561035156,0.3590046763420105
6.9,16.535795211791992,0.3602171242237091
7.0,16.572154998779297,0.358909010887146
7.1,16.671585083007812,0.3588247001171112
7.2,16.83599090576172,0.3564149737358093
7.3,17.262434005737305,0.34032467007637024
7.4,17.110546112060547,0.3512457311153412
7.5,17.14081382751465,0.3487755060195923
7.6,17.108667373657227,0.3526844382286072
7.7,16.920629501342773,0.3391028046607971
7.8,17.239242553710938,0.33421581983566284
7.9,17.62137222290039,0.3341352343559265
8.0,17.568727493286133,0.3212384581565857
8.1,17.450759887695312,0.327274352312088
8.2,17.986886978149414,0.3156818151473999
8.3,17.36270523071289,0.32161977887153625
8.4,17.687299728393555,0.3196355700492859
8.5,17.952178955078125,0.3250781297683716
8.6,17.89950180053711,0.3038768768310547
8.7,17.58538818359375,0.32177045941352844
8.8,18.0936222076416,0.30797049403190613
8.9,18.239192962646484,0.30454397201538086
9.0,18.265308380126953,0.30803579092025757
9.1,18.307939529418945,0.3052814304828644
9.2,18.553163528442383,0.28913938999176025
9.3,18.51935386657715,0.2961832284927368
9.4,18.44619369506836,0.2973783612251282
9.5,18.489990234375,0.284578412771225
9.6,18.727556228637695,0.29483023285865784
9.7,18.723329544067383,0.2840327024459839
9.8,18.69791030883789,0.2916485369205475
9.9,18.648971557617188,0.28879690170288086
10.0,18.957412719726562,0.2894919514656067
10.1,18.941200256347656,0.2751705050468445
10.2,19.18068504333496,0.27637022733688354
10.3,18.87998390197754,0.27990275621414185
10.4,19.137300491333008,0.27273863554000854
10.5,19.120622634887695,0.2731224298477173
10.6,19.31632423400879,0.26387956738471985
10.7,19.5238094329834,0.27742013335227966
10.8,19.456531524658203,0.25456830859184265
10.9,19.613258361816406,0.25835609436035156
11.0,19.921327590942383,0.24931839108467102
11.1,19.701309204101562,0.24790729582309723
11.2,19.885194778442383,0.24588066339492798
11.3,19.705284118652344,0.25752416253089905
11.4,20.025327682495117,0.25031763315200806
11.5,19.97105598449707,0.24956132471561432
11.6,20.093017578125,0.24091309309005737
11.7,20.280710220336914,0.23551252484321594
11.8,20.230520248413086,0.2408178448677063
11.9,20.27019500732422,0.22735567390918732
12.0,20.243215560913086,0.22660890221595764
12.1,20.45848274230957,0.22947603464126587
12.2,20.424915313720703,0.22812515497207642
12.3,20.669355392456055,0.22610069811344147
12.4,20.90030288696289,0.22174811363220215
12.5,20.676555633544922,0.21792100369930267
12.6,20.75794792175293,0.21492788195610046
12.7,20.702545166015625,0.2121863067150116
12.8,21.066390991210938,0.21074596047401428
12.9,21.017757415771484,0.20266756415367126
13.0,21.308387756347656,0.19874241948127747
13.1,21.38553237915039,0.2005225419998169
13.2,21.478120803833008,0.20876385271549225
13.3,21.45378875732422,0.20431733131408691
13.4,21.535869598388672,0.19255025684833527
13.5,21.735258102416992,0.18600985407829285
13.6,21.756235122680664,0.18879210948944092
13.7,21.641334533691406,0.19046750664710999
13.8,21.67030906677246,0.1870473176240921
13.9,21.977983474731445,0.17913830280303955
14.0,21.805646896362305,0.18371205031871796
14.1,22.032276153564453,0.17638033628463745
14.2,21.95410919189453,0.17797896265983582
14.3,22.070180892944336,0.17542393505573273
14.4,22.0694580078125,0.17528344690799713
14.5,22.40781021118164,0.16970938444137573
14.6,22.154050827026367,0.18583664298057556
14.7,22.35868263244629,0.1731182187795639
14.8,22.373531341552734,0.17485174536705017
14.9,22.384328842163086,0.17530082166194916
15.0,22.58523941040039,0.15876656770706177
15.1,22.604690551757812,0.1619645357131958
15.2,22.859352111816406,0.15538868308067322
15.3,22.800777435302734,0.16253256797790527
15.4,22.887971878051758,0.15620732307434082
15.5,22.870315551757812,0.15435895323753357
15.6,22.97728157043457,0.15767371654510498
15.7,23.181488037109375,0.15094077587127686
15.8,23.128427505493164,0.1472068727016449
15.9,23.27178192138672,0.1444462388753891
