SNR,PSNR,LPIPS
0.0,10.127195358276367,0.6152158379554749
0.5,10.15398120880127,0.6011142730712891
1.0,10.620287895202637,0.5981085896492004
1.5,11.005037307739258,0.5909767746925354
2.0,11.527539253234863,0.567868709564209
2.5,11.668485641479492,0.5658683776855469
3.0,11.92105484008789,0.5531363487243652
3.5,12.421976089477539,0.527791440486908
4.0,12.78266429901123,0.528455376625061
4.5,13.423389434814453,0.5080864429473877
5.0,13.819718360900879,0.4920073449611664
5.5,13.932548522949219,0.489058256149292
6.0,14.693265914916992,0.4628981947898865
6.5,15.233406066894531,0.44471362233161926
7.0,15.696277618408203,0.4276397228240967
7.5,16.034605026245117,0.40842559933662415
8.0,16.060264587402344,0.39073488116264343
8.5,16.505151748657227,0.3608989715576172
9.0,17.05886459350586,0.3581315279006958
9.5,17.59757423400879,0.34242987632751465
10.0,17.86758041381836,0.3083430528640747
10.5,18.346324920654297,0.304485023021698
11.0,18.90519905090332,0.29283249378204346
11.5,19.371238708496094,0.2526290714740753
12.0,19.582775115966797,0.24527335166931152
12.5,19.802461624145508,0.24139180779457092
13.0,20.246112823486328,0.23053178191184998
13.5,20.719202041625977,0.21070222556591034
14.0,20.931066513061523,0.20236888527870178
14.5,21.06380844116211,0.1991490125656128
15.0,21.314245223999023,0.1820104420185089
15.5,21.71005630493164,0.1717911660671234
16.0,21.91217041015625,0.165472611784935
16.5,22.23946762084961,0.15227805078029633
17.0,22.482330322265625,0.14869673550128937
17.5,22.604751586914062,0.15010760724544525
18.0,22.898807525634766,0.13940729200839996
18.5,22.90915870666504,0.14005494117736816
19.0,23.076614379882812,0.13539862632751465
19.5,23.35224723815918,0.12911660969257355
