SNR,PSNR,LPIPS
0.0,13.28859806060791,0.4799320101737976
0.5,13.46996021270752,0.4685141146183014
1.0,13.657099723815918,0.46772143244743347
1.5,13.358579635620117,0.4750213921070099
2.0,14.315229415893555,0.44290512800216675
2.5,14.360902786254883,0.4277072250843048
3.0,14.667014122009277,0.41302722692489624
3.5,14.69201946258545,0.43139559030532837
4.0,15.124429702758789,0.42432701587677
4.5,15.417930603027344,0.41065630316734314
5.0,15.362338066101074,0.3945978283882141
5.5,15.697904586791992,0.40327194333076477
6.0,15.954054832458496,0.38446444272994995
6.5,16.325071334838867,0.3766166865825653
7.0,16.659868240356445,0.367875874042511
7.5,17.042238235473633,0.3559368848800659
8.0,17.286954879760742,0.3234509825706482
8.5,17.711713790893555,0.31765055656433105
9.0,18.261486053466797,0.2986145317554474
9.5,18.830467224121094,0.27932554483413696
10.0,18.96713638305664,0.28477105498313904
10.5,19.284818649291992,0.2768705487251282
11.0,19.773242950439453,0.25112462043762207
11.5,20.08243751525879,0.2383069097995758
12.0,20.392871856689453,0.22109387814998627
12.5,20.84369468688965,0.20746126770973206
13.0,21.22124481201172,0.20227617025375366
13.5,21.51927375793457,0.18683511018753052
14.0,21.7513484954834,0.18448159098625183
14.5,22.216705322265625,0.18049679696559906
15.0,22.700294494628906,0.1587708294391632
15.5,22.91366958618164,0.16160106658935547
